Zip|IncomeRange|NumberOfReturns
10019|$50,000 under $75,000|3500
10037|$1 under $25,000|3500
10472|$50,000 under $75,000|3500
10950|$25,000 under $50,000|3500
14120|$100,000 under $200,000|3500
14223|$1 under $25,000|3500
10017|$200,000 or more|3490
11704|$50,000 under $75,000|3490
11741|$100,000 under $200,000|3490
12309|$1 under $25,000|3490
13088|$25,000 under $50,000|3490
11102|$50,000 under $75,000|3480
11566|$200,000 or more|3480
13205|$1 under $25,000|3470
10023|$50,000 under $75,000|3460
10065|$100,000 under $200,000|3460
11520|$50,000 under $75,000|3460
14624|$50,000 under $75,000|3460
10457|$50,000 under $75,000|3450
11217|$25,000 under $50,000|3450
11231|$100,000 under $200,000|3450
12206|$1 under $25,000|3450
14120|$50,000 under $75,000|3450
10462|$75,000 under $100,000|3440
10954|$1 under $25,000|3440
11003|$100,000 under $200,000|3440
11226|$100,000 under $200,000|3440
11756|$50,000 under $75,000|3440
13088|$1 under $25,000|3440
14617|$1 under $25,000|3440
10940|$100,000 under $200,000|3430
11379|$100,000 under $200,000|3430
11795|$100,000 under $200,000|3430
14216|$1 under $25,000|3430
10028|$50,000 under $75,000|3420
11570|$1 under $25,000|3420
12020|$100,000 under $200,000|3420
11590|$50,000 under $75,000|3410
12065|$50,000 under $75,000|3410
14127|$100,000 under $200,000|3410
11040|$25,000 under $50,000|3400
14620|$25,000 under $50,000|3400
10024|$25,000 under $50,000|3390
10465|$50,000 under $75,000|3390
11232|$25,000 under $50,000|3390
11372|$100,000 under $200,000|3390
10950|$100,000 under $200,000|3380
11798|$1 under $25,000|3380
10011|$25,000 under $50,000|3370
11235|$75,000 under $100,000|3370
12550|$100,000 under $200,000|3370
14620|$1 under $25,000|3370
10024|$50,000 under $75,000|3360
11729|$25,000 under $50,000|3360
14094|$100,000 under $200,000|3360
14623|$1 under $25,000|3360
10303|$25,000 under $50,000|3350
10465|$100,000 under $200,000|3350
10598|$1 under $25,000|3350
11104|$25,000 under $50,000|3350
14456|$1 under $25,000|3350
10541|$1 under $25,000|3340
13126|$25,000 under $50,000|3340
13901|$1 under $25,000|3340
11101|$50,000 under $75,000|3330
11370|$25,000 under $50,000|3330
11801|$50,000 under $75,000|3330
12203|$25,000 under $50,000|3330
14760|$1 under $25,000|3330
10562|$25,000 under $50,000|3320
10580|$200,000 or more|3320
11229|$75,000 under $100,000|3320
11412|$50,000 under $75,000|3320
11762|$100,000 under $200,000|3320
13790|$1 under $25,000|3320
14228|$1 under $25,000|3320
14534|$200,000 or more|3320
10023|$75,000 under $100,000|3310
10538|$200,000 or more|3310
11364|$100,000 under $200,000|3310
12533|$100,000 under $200,000|3310
11211|$75,000 under $100,000|3300
11763|$25,000 under $50,000|3300
14305|$1 under $25,000|3290
10003|$75,000 under $100,000|3280
11791|$200,000 or more|3280
14221|$75,000 under $100,000|3280
14424|$25,000 under $50,000|3280
11570|$200,000 or more|3270
11714|$1 under $25,000|3270
12533|$1 under $25,000|3270
13212|$1 under $25,000|3270
14217|$25,000 under $50,000|3270
10075|$100,000 under $200,000|3260
10463|$75,000 under $100,000|3260
10591|$1 under $25,000|3260
11231|$200,000 or more|3260
