Batsman,Result,TeamState,n,Reviews
JK Silva,Umpire's call,Bowling,1,7
JK Silva,Upheld,Batting,3,11
JK Silva,Upheld,Bowling,3,7
JL Denly,Struck down,Batting,2,4
JL Denly,Struck down,Bowling,4,8
JL Denly,Umpire's call,Batting,1,4
JL Denly,Umpire's call,Bowling,1,8
JL Denly,Upheld,Batting,1,4
JL Denly,Upheld,Bowling,3,8
JL Pattinson,Struck down,Batting,1,3
JL Pattinson,Upheld,Batting,2,3
JM Anderson,Struck down,Batting,5,7
JM Anderson,Struck down,Bowling,7,11
JM Anderson,Umpire's call,Bowling,1,11
JM Anderson,Upheld,Batting,2,7
JM Anderson,Upheld,Bowling,3,11
JM Bairstow,Struck down,Batting,10,17
JM Bairstow,Struck down,Bowling,20,24
JM Bairstow,Umpire's call,Batting,2,17
JM Bairstow,Upheld,Batting,5,17
JM Bairstow,Upheld,Bowling,4,24
JM Mennie,Struck down,Batting,1,1
JM Mennie,Struck down,Bowling,1,1
JM Vince,Struck down,Batting,1,4
JM Vince,Struck down,Bowling,2,2
JM Vince,Umpire's call,Batting,1,4
JM Vince,Upheld,Batting,2,4
JO Holder,Struck down,Batting,5,9
JO Holder,Struck down,Bowling,7,12
JO Holder,Umpire's call,Batting,1,9
JO Holder,Umpire's call,Bowling,2,12
JO Holder,Upheld,Batting,3,9
JO Holder,Upheld,Bowling,3,12
JP Duminy,Struck down,Batting,7,9
JP Duminy,Struck down,Bowling,9,11
JP Duminy,Upheld,Batting,2,9
JP Duminy,Upheld,Bowling,2,11
JR Hazlewood,Struck down,Batting,2,4
JR Hazlewood,Struck down,Bowling,1,1
JR Hazlewood,Umpire's call,Batting,2,4
Jubair Hossain,Struck down,Batting,1,1
Jubair Hossain,Struck down,Bowling,1,1
Junaid Khan,Struck down,Batting,4,4
JWA Taylor,Struck down,Bowling,1,1
K Mendis,Upheld,Bowling,1,1
K Rabada,Struck down,Batting,4,5
K Rabada,Struck down,Bowling,5,7
K Rabada,Umpire's call,Bowling,1,7
K Rabada,Upheld,Batting,1,5
K Rabada,Upheld,Bowling,1,7
KA Edwards,Struck down,Batting,1,4
KA Edwards,Struck down,Bowling,1,2
KA Edwards,Upheld,Batting,3,4
KA Edwards,Upheld,Bowling,1,2
KA Hope,Struck down,Batting,3,3
KA Hope,Struck down,Bowling,1,2
KA Hope,Umpire's call,Bowling,1,2
KA Jamieson,Struck down,Bowling,1,1
KA Maharaj,Struck down,Batting,3,5
KA Maharaj,Struck down,Bowling,1,4
KA Maharaj,Umpire's call,Batting,1,5
KA Maharaj,Umpire's call,Bowling,1,4
KA Maharaj,Upheld,Batting,1,5
KA Maharaj,Upheld,Bowling,2,4
KAJ Roach,Struck down,Batting,6,9
KAJ Roach,Struck down,Bowling,13,16
KAJ Roach,Umpire's call,Bowling,1,16
KAJ Roach,Upheld,Batting,3,9
KAJ Roach,Upheld,Bowling,2,16
Kamrul Islam Rabbi,Struck down,Batting,1,2
Kamrul Islam Rabbi,Struck down,Bowling,2,2
Kamrul Islam Rabbi,Upheld,Batting,1,2
KC Brathwaite,Struck down,Batting,7,11
KC Brathwaite,Struck down,Bowling,11,14
KC Brathwaite,Umpire's call,Batting,1,11
KC Brathwaite,Umpire's call,Bowling,1,14
KC Brathwaite,Upheld,Batting,3,11
KC Brathwaite,Upheld,Bowling,2,14
KC Sangakkara,Struck down,Batting,2,3
KC Sangakkara,Struck down,Bowling,5,7
KC Sangakkara,Upheld,Batting,1,3
KC Sangakkara,Upheld,Bowling,2,7
KD Karthik,Umpire's call,Batting,1,1
KD Karthik,Umpire's call,Bowling,1,1
KDK Vithanage,Struck down,Batting,1,1
KDK Vithanage,Struck down,Bowling,2,2
Khurram Manzoor,Struck down,Batting,1,1
Khurram Manzoor,Struck down,Bowling,1,1
KJ Abbott,Struck down,Batting,2,2
KJ Abbott,Upheld,Bowling,1,1
KJ O'Brien,Struck down,Bowling,1,1
KK Jennings,Struck down,Batting,2,3
KK Jennings,Struck down,Bowling,4,4
KK Jennings,Upheld,Batting,1,3
KK Nair,Struck down,Bowling,1,2
KK Nair,Upheld,Bowling,1,2
KL Rahul,Struck down,Batting,4,5
KL Rahul,Struck down,Bowling,3,4
KL Rahul,Upheld,Batting,1,5
KL Rahul,Upheld,Bowling,1,4
KM Jarvis,Struck down,Bowling,1,1
KMA Paul,Struck down,Batting,1,1
KMDN Kulasekara,Struck down,Bowling,1,1
KOA Powell,Struck down,Batting,7,11
KOA Powell,Struck down,Bowling,7,10
KOA Powell,Umpire's call,Bowling,1,10
KOA Powell,Upheld,Batting,4,11
KOA Powell,Upheld,Bowling,2,10
KP Pietersen,Struck down,Batting,7,8
KP Pietersen,Struck down,Bowling,9,11
KP Pietersen,Upheld,Batting,1,8
KP Pietersen,Upheld,Bowling,2,11
KR Patterson,Struck down,Batting,1,1
KS Williamson,Struck down,Batting,5,9
KS Williamson,Struck down,Bowling,14,19
KS Williamson,Umpire's call,Batting,3,9
KS Williamson,Umpire's call,Bowling,1,19
KS Williamson,Upheld,Batting,1,9
KS Williamson,Upheld,Bowling,4,19
KTGD Prasad,Struck down,Batting,2,3
KTGD Prasad,Struck down,Bowling,3,3
KTGD Prasad,Upheld,Batting,1,3
Kuldeep Yadav,Struck down,Batting,2,2
L Embuldeniya,Struck down,Batting,2,2
L Embuldeniya,Struck down,Bowling,1,2
L Embuldeniya,Upheld,Bowling,1,2
L Ngidi,Upheld,Bowling,1,1
LA Dawson,Struck down,Batting,1,2
LA Dawson,Struck down,Bowling,1,1
LA Dawson,Upheld,Batting,1,2
